seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,execution_time
0,student_optimal,981,19,0,0,0,0.46529412269592285
0,tie_breaking,981,7,7,5,0,0.014304399490356445
1,student_optimal,961,39,0,0,0,0.46946072578430176
1,tie_breaking,961,18,12,4,5,0.018552303314208984
2,student_optimal,976,24,0,0,0,0.46410155296325684
2,tie_breaking,976,5,8,8,3,0.018801450729370117
3,student_optimal,982,18,0,0,0,0.4696822166442871
3,tie_breaking,982,9,6,1,2,0.018218040466308594
4,student_optimal,968,32,0,0,0,0.4751102924346924
4,tie_breaking,968,14,10,7,1,0.018640995025634766
5,student_optimal,979,21,0,0,0,0.473097562789917
5,tie_breaking,979,14,0,3,4,0.01857471466064453
6,student_optimal,982,18,0,0,0,0.4668598175048828
6,tie_breaking,982,13,3,0,2,0.01816534996032715
7,student_optimal,993,7,0,0,0,0.4669950008392334
7,tie_breaking,993,4,1,0,2,0.018537282943725586
8,student_optimal,969,31,0,0,0,0.4671134948730469
8,tie_breaking,969,20,4,5,2,0.01872992515563965
9,student_optimal,964,36,0,0,0,0.4644806385040283
9,tie_breaking,964,21,3,5,7,0.018240928649902344
