seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,execution_time
0,student_optimal,981,19,0,0,0,0.44299888610839844
0,tie_breaking,981,7,7,5,0,0.00047850608825683594
1,student_optimal,961,39,0,0,0,0.4413318634033203
1,tie_breaking,961,18,12,4,5,0.0004734992980957031
2,student_optimal,976,24,0,0,0,0.4413182735443115
2,tie_breaking,976,5,8,8,3,0.0005207061767578125
3,student_optimal,982,18,0,0,0,0.441300630569458
3,tie_breaking,982,9,6,1,2,0.0004942417144775391
4,student_optimal,968,32,0,0,0,0.4392516613006592
4,tie_breaking,968,14,10,7,1,0.0004837512969970703
5,student_optimal,979,21,0,0,0,0.4349789619445801
5,tie_breaking,979,14,0,3,4,0.0004911422729492188
6,student_optimal,982,18,0,0,0,0.4416227340698242
6,tie_breaking,982,13,3,0,2,0.0004839897155761719
7,student_optimal,993,7,0,0,0,0.47370457649230957
7,tie_breaking,993,4,1,0,2,0.0005068778991699219
8,student_optimal,969,31,0,0,0,0.4434974193572998
8,tie_breaking,969,20,4,5,2,0.000568389892578125
9,student_optimal,964,36,0,0,0,0.43708038330078125
9,tie_breaking,964,21,3,5,7,0.0004987716674804688
