seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,execution_time
0,student_optimal,969,31,0,0,0,0,0,0,0,0,0.5011301040649414
0,tie_breaking,969,12,8,4,3,2,0,2,0,0,0.027610301971435547
1,student_optimal,975,25,0,0,0,0,0,0,0,0,0.4691047668457031
1,tie_breaking,975,9,2,6,5,1,0,0,1,1,0.03443169593811035
2,student_optimal,958,42,0,0,0,0,0,0,0,0,0.4736363887786865
2,tie_breaking,958,17,7,8,2,4,2,2,0,0,0.028292417526245117
3,student_optimal,954,46,0,0,0,0,0,0,0,0,0.47371459007263184
3,tie_breaking,954,24,9,5,4,1,1,0,2,0,0.03245949745178223
4,student_optimal,976,24,0,0,0,0,0,0,0,0,0.4701399803161621
4,tie_breaking,976,8,5,3,3,1,2,0,1,1,0.03746199607849121
5,student_optimal,968,32,0,0,0,0,0,0,0,0,0.4774966239929199
5,tie_breaking,968,9,9,3,2,3,1,1,3,1,0.03619384765625
6,student_optimal,965,35,0,0,0,0,0,0,0,0,0.4845860004425049
6,tie_breaking,965,16,3,3,3,5,1,1,2,1,0.035344839096069336
7,student_optimal,954,46,0,0,0,0,0,0,0,0,0.4683699607849121
7,tie_breaking,954,18,12,6,2,2,0,1,2,3,0.035207509994506836
8,student_optimal,981,19,0,0,0,0,0,0,0,0,0.470766544342041
8,tie_breaking,981,4,4,1,2,1,1,1,2,3,0.035446882247924805
9,student_optimal,947,53,0,0,0,0,0,0,0,0,0.4712677001953125
9,tie_breaking,947,27,6,8,5,3,2,0,2,0,0.03192901611328125
