student_id,school_id
0,8
1,7
2,8
3,6
4,9
5,9
6,4
7,0
8,9
9,2
10,8
11,2
12,6
13,8
14,3
15,1
16,3
17,1
18,9
19,2
20,5
21,7
22,1
23,8
24,4
25,1
26,5
27,4
28,3
29,1
30,7
31,7
32,8
33,0
34,1
35,1
36,1
37,7
38,6
39,4
40,4
41,4
42,1
43,3
44,3
45,1
46,7
47,2
48,6
49,5
50,5
51,0
52,9
53,1
54,0
55,2
56,3
57,7
58,9
59,5
60,5
61,0
62,1
63,5
64,9
65,4
66,9
67,2
68,4
69,3
70,3
71,2
72,2
73,1
74,9
75,3
76,1
77,0
78,2
79,3
80,3
81,5
82,3
83,5
84,7
85,6
86,2
87,4
88,6
89,7
90,0
91,4
92,5
93,6
94,9
95,7
96,5
97,3
98,0
99,3
100,9
101,4
102,1
103,1
104,3
105,6
106,8
107,4
108,3
109,8
110,5
111,3
112,6
113,8
114,5
115,1
116,5
117,4
118,4
119,1
120,3
121,5
122,1
123,4
124,6
125,1
126,0
127,4
128,3
129,9
130,6
131,1
132,8
133,7
134,3
135,4
136,6
137,4
138,3
139,1
140,9
141,4
142,3
143,4
144,4
145,9
146,6
147,8
148,7
149,8
150,1
151,9
152,1
153,9
154,0
155,6
156,6
157,7
158,2
159,7
160,0
161,5
162,7
163,2
164,3
165,4
166,8
167,7
168,0
169,4
170,1
171,7
172,5
173,2
174,3
175,8
176,5
177,3
178,2
179,4
180,4
181,8
182,6
183,8
184,9
185,6
186,1
187,2
188,3
189,4
190,4
191,3
192,1
193,5
194,5
195,0
196,2
197,5
198,6
199,5
200,4
201,5
202,7
203,4
204,6
205,5
206,2
207,7
208,5
209,7
210,8
211,4
212,7
213,0
214,0
215,1
216,3
217,6
218,4
219,5
220,1
221,8
222,9
223,2
224,1
225,0
226,4
227,6
228,3
229,0
230,2
231,8
232,2
233,1
234,6
235,5
236,9
237,4
238,0
239,0
240,1
241,8
242,3
243,9
244,8
245,4
246,1
247,2
248,8
249,5
250,1
251,5
252,3
253,4
254,0
255,3
256,7
257,0
258,3
259,9
260,1
261,6
262,4
263,3
264,7
265,8
266,7
267,3
268,2
269,3
270,3
271,2
272,5
273,8
274,9
275,2
276,1
277,3
278,1
279,3
280,7
281,9
282,9
283,9
284,3
285,2
286,6
287,7
288,5
289,1
290,3
291,6
292,9
293,5
294,5
295,1
296,0
297,8
298,5
299,4
300,0
301,6
302,6
303,7
304,5
305,5
306,6
307,6
308,6
309,0
310,4
311,2
312,0
313,6
314,8
315,2
316,7
317,1
318,6
319,7
320,1
321,9
322,1
323,5
324,7
325,1
326,6
327,8
328,2
329,4
330,7
331,7
332,5
333,5
334,1
335,1
336,2
337,6
338,0
339,3
340,4
341,3
342,7
343,0
344,6
345,3
346,6
347,4
348,1
349,2
350,5
351,6
352,2
353,2
354,6
355,3
356,1
357,9
358,5
359,2
360,8
361,2
362,7
363,9
364,4
365,8
366,4
367,1
368,9
369,1
370,6
371,7
372,4
373,6
374,1
375,4
376,7
377,1
378,5
379,3
380,9
381,3
382,5
383,6
384,3
385,8
386,7
387,7
388,0
389,1
390,9
391,3
392,7
393,8
394,1
395,0
396,2
397,5
398,4
399,0
400,5
401,5
402,3
403,1
404,9
405,5
406,1
407,4
408,7
409,0
410,8
411,8
412,0
413,5
414,2
415,9
416,8
417,2
418,0
419,2
420,5
421,4
422,5
423,2
424,5
425,7
426,1
427,9
428,0
429,5
430,9
431,3
432,3
433,9
434,7
435,0
436,4
437,5
438,9
439,6
440,3
441,9
442,4
443,2
444,3
445,6
446,7
447,6
448,1
449,4
450,5
451,8
452,5
453,8
454,4
455,9
456,2
457,5
458,1
459,0
460,4
461,4
462,2
463,2
464,9
465,5
466,4
467,1
468,5
469,3
470,2
471,2
472,0
473,8
474,1
475,7
476,4
477,1
478,7
479,0
480,1
481,5
482,5
483,8
484,0
485,8
486,7
487,6
488,8
489,4
490,4
491,6
492,3
493,0
494,2
495,0
496,3
497,3
498,2
499,2
500,2
501,6
502,5
503,1
504,4
505,2
506,7
507,6
508,6
509,0
510,7
511,9
512,8
513,8
514,5
515,6
516,9
517,1
518,3
519,0
520,4
521,8
522,5
523,5
524,4
525,6
526,9
527,1
528,3
529,0
530,2
531,9
532,8
533,8
534,1
535,3
536,6
537,2
538,0
539,8
540,0
541,9
542,0
543,4
544,6
545,3
546,5
547,7
548,1
549,1
550,3
551,4
552,1
553,4
554,1
555,7
556,3
557,9
558,4
559,4
560,8
561,9
562,7
563,9
564,9
565,7
566,5
567,6
568,4
569,0
570,7
571,5
572,9
573,0
574,9
575,0
576,1
577,1
578,1
579,2
580,2
581,3
582,9
583,0
584,4
585,3
586,8
587,1
588,6
589,7
590,9
591,6
592,2
593,9
594,1
595,4
596,8
597,6
598,0
599,3
600,2
601,2
602,6
603,3
604,2
605,6
606,3
607,7
608,7
609,7
610,1
611,8
612,9
613,1
614,0
615,4
616,5
617,4
618,5
619,3
620,8
621,7
622,4
623,9
624,7
625,9
626,0
627,2
628,1
629,6
630,0
631,2
632,4
633,0
634,3
635,6
636,1
637,2
638,7
639,0
640,7
641,6
642,8
643,4
644,8
645,6
646,6
647,3
648,9
649,6
650,6
651,9
652,5
653,3
654,9
655,8
656,9
657,1
658,4
659,4
660,3
661,7
662,7
663,0
664,5
665,9
666,3
667,6
668,1
669,4
670,4
671,6
672,1
673,2
674,8
675,6
676,1
677,7
678,5
679,6
680,4
681,4
682,1
683,4
684,0
685,8
686,7
687,4
688,7
689,0
690,2
691,4
692,0
693,0
694,2
695,5
696,4
697,5
698,6
699,4
700,2
701,1
702,1
703,8
704,5
705,8
706,4
707,3
708,3
709,4
710,9
711,6
712,8
713,9
714,6
715,7
716,0
717,0
718,5
719,4
