seed,algorithm,pref_0,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,execution_time
0,student_optimal,85,15,0,0,0,0,0,0,0,0,0.004659891128540039
0,tie_breaking,85,9,3,1,0,0,1,1,0,0,7.343292236328125e-05
1,student_optimal,90,10,0,0,0,0,0,0,0,0,0.0052013397216796875
1,tie_breaking,90,7,2,0,1,0,0,0,0,0,6.604194641113281e-05
2,student_optimal,86,11,3,0,0,0,0,0,0,0,0.0045506954193115234
2,tie_breaking,86,6,2,3,0,1,0,1,1,0,8.702278137207031e-05
3,student_optimal,92,8,0,0,0,0,0,0,0,0,0.0046787261962890625
3,tie_breaking,92,3,1,2,0,2,0,0,0,0,8.916854858398438e-05
4,student_optimal,91,7,2,0,0,0,0,0,0,0,0.004689455032348633
4,tie_breaking,91,3,3,0,2,0,0,0,1,0,7.390975952148438e-05
5,student_optimal,90,9,1,0,0,0,0,0,0,0,0.00529932975769043
5,tie_breaking,90,3,1,0,2,1,0,1,1,1,0.00010848045349121094
6,student_optimal,86,14,0,0,0,0,0,0,0,0,0.0043947696685791016
6,tie_breaking,86,6,2,2,2,1,0,0,0,1,5.91278076171875e-05
7,student_optimal,87,13,0,0,0,0,0,0,0,0,0.004400014877319336
7,tie_breaking,87,3,3,4,1,0,1,0,0,1,8.440017700195312e-05
8,student_optimal,87,11,2,0,0,0,0,0,0,0,0.0045032501220703125
8,tie_breaking,87,5,2,0,3,0,1,1,0,1,7.605552673339844e-05
9,student_optimal,82,18,0,0,0,0,0,0,0,0,0.004401683807373047
9,tie_breaking,82,10,4,0,2,0,1,0,0,1,6.008148193359375e-05
